step_id,layers,print_speed,spread_speed,layer_thickness,dpi,density,layer_passes,overfeed,separation_layers,travel_speed,note
1,10,2200,6000,0.1,600,100,3,3.5,1,3000,density_100
2,10,2200,6000,0.1,600,175,3,3.5,1,3000,density_175
3,10,2200,6000,0.1,600,250,3,3.5,1,3000,density_250_baseline
4,10,2200,6000,0.1,600,325,3,3.5,1,3000,density_325
5,10,2200,6000,0.1,600,400,3,3.5,1,3000,density_400
6,10,2200,6000,0.1,600,250,1,3.5,1,3000,passes_1
7,10,2200,6000,0.1,600,250,2,3.5,1,3000,passes_2
8,10,2200,6000,0.1,600,250,5,3.5,1,3000,passes_5
9,10,2200,9000,0.1,600,250,3,2.0,1,3000,overfeed_2_spread_9000
10,10,2200,3000,0.1,600,250,3,5.0,1,3000,overfeed_5_spread_3000
11,10,800,6000,0.1,600,250,3,3.5,1,3000,dwell_slow_800
12,10,3000,6000,0.1,600,250,3,3.5,1,3000,dwell_fast_3000
